index,Video,Mean,Std,Diff1,Diff2,PCAd1,PCAd2,Label
O1,T1,0.8431838044414546,0.1852345487907496,0.012202633987362006,0.11444589303733348,0.017396068314324296,0.1021969057675792,Genuine
O2,T1,0.8592472966838554,0.10634655845862284,0.0031250037026598378,0.21364198214390293,0.017051654870222786,0.10749745582717145,Genuine
O3,T1,0.8486188811058615,0.12974385002513997,0.006686824090195614,0.05941109078954683,0.017846061115098507,0.10847376110745063,Genuine
O4,T1,0.8671640757872083,0.09704069972738522,0.002018243226668438,0.2625119352188697,0.01739304901924133,0.1073332504511183,Genuine
O5,T1,0.9420669902066424,0.033818945123276045,0.0016246165444079768,0.2976242126164671,0.019180101357280818,0.10784394950993365,Genuine
O6,T1,0.9510124346009377,0.0268144961465476,0.002342989654895754,0.24802851701691597,0.019654097216447397,0.11008328125001708,Genuine
O7,T1,0.9278321552498706,0.0810668301573772,0.008304516258954276,0.05821458273573238,0.02376390071622761,0.11740362645997748,Genuine
O8,T1,0.8922375725535234,0.07270113086573896,0.0036604520636251314,0.2463565973107249,0.01872797338708316,0.1171563763735265,Genuine
O9,T1,0.8554877352807951,0.0647545014480321,0.006904646411753958,0.1889451211641454,0.02074209486581846,0.11527458619522704,Genuine
O10,T1,0.9310136563208049,0.03563209085172621,0.003222121177114542,0.29963702561607064,0.019778044486158584,0.11563746476143533,Genuine
O11,T1,0.8808349188106391,0.06983924821857493,0.008309271423013267,0.15637678602470212,0.020439343191635158,0.11631905184812122,Genuine
O12,T1,0.8973951705571752,0.09690736461206897,0.0075038461411191405,0.053304319034712895,0.021523186855025675,0.10090370455640232,Genuine
O13,T1,0.7967352675681533,0.17956172721015506,0.011265953011581821,0.08528920599889002,0.021693703229380194,0.14586083144509307,Genuine
O14,T1,0.8927722133772599,0.12904294592360552,0.00905712936889446,0.048921394551411965,0.018530473619207163,0.12268120378384936,Genuine
O15,T1,0.8549980096792651,0.24055678154533894,0.018883227848457716,0.07970943587158358,0.01730647115961579,0.1297533178769103,Genuine
O16,T1,0.8359226337488657,0.2199263224084561,0.012230960877573527,0.0911518125429846,0.016672378506307074,0.120248978476245,Genuine
O17,T1,0.8609578247683778,0.14544834951693472,0.011196032466608996,0.05566588877910264,0.02472107185102211,0.1175092524568896,Genuine
O18,T1,0.9478561680862314,0.029192097261600068,0.00260554678121284,0.31287091635188646,0.019426321502205093,0.10966332431255442,Genuine
O19,T1,0.9197451131996051,0.16684991929877607,0.012210599006944125,0.058298932210089124,0.017125461523014016,0.09694715897432343,Genuine
O20,T1,0.8776059937906494,0.05644823988455448,0.0048060900053536505,0.29777607075351054,0.02014558130699432,0.11755371738141512,Genuine
O1,T2,0.919049707382508,0.05834729507143988,0.0036626445764154593,0.263130387998392,0.03534220497475689,0.1650536387087206,Genuine
O2,T2,0.8686954901899359,0.06219857575522529,0.004067309914292168,0.3323803251794997,0.03256915765110675,0.17064035349662363,Genuine
O3,T2,0.9134726789724703,0.056901418743022396,0.0022953015008721277,0.2826292793260325,0.023890935019832235,0.07816513993634769,Genuine
O4,T2,0.8192973960351861,0.13165406731451215,0.008211293559976792,0.05047592970578994,0.023327554283346,0.12388771321136978,Genuine
O5,T2,0.970519889666728,0.01611974248986498,0.0015486590988496103,0.2350258502469787,0.0358930609471345,0.16018729807034005,Genuine
O6,T2,0.9604721539199137,0.018621500278265504,0.002715987607817532,0.2971796237259394,0.036477520799143015,0.16812650589619427,Genuine
O7,T2,0.919160473743666,0.13814185819600236,0.01532952587050258,0.08470955559639268,0.05734942135014416,0.17845497531117352,Genuine
O8,T2,0.9104796420276817,0.04305838682409356,0.006592549946891188,0.061421398583186876,0.03921215009902652,0.17320788986926694,Genuine
O9,T2,0.950820716030213,0.02203344382789235,0.0018777008573431756,0.2739564965456845,0.03608343373325365,0.1597845123791169,Genuine
O10,T2,0.9672695349207278,0.016963811977360473,0.0030747083261278224,0.29489698223001964,0.03591872822380433,0.16255152680057675,Genuine
O11,T2,0.9091832223470258,0.037497138665186454,0.005510991129375882,0.22991784099813276,0.03534260143403342,0.16383393277931435,Genuine
O12,T2,0.9360138054683924,0.02215427040467407,0.0024726485476330388,0.31003452477207505,0.03558990138379077,0.1616885280710969,Genuine
O13,T2,0.9420832158275241,0.03223972358940534,0.0020869036744800822,0.19727899527341322,0.035310844188683965,0.1612989763057675,Genuine
O14,T2,0.8867471890279,0.05270854556769208,0.002261737262957011,0.33990448227337733,0.03359121960913854,0.16134480777573096,Genuine
O15,T2,0.8165017605299301,0.28340667136601577,0.016134499878989083,0.10082651749654618,0.033614522917195036,0.15591862794333963,Genuine
O16,T2,0.8156544954716165,0.2952159824681365,0.022186861483185952,0.15790223284031316,0.029140100202430498,0.1532797100010235,Genuine
O17,T2,0.8975110292786832,0.08459813844546779,0.01230720597835392,0.10091469187942984,0.04466669288002369,0.16765292228467954,Genuine
O18,T2,0.9533107261081266,0.040465003500913935,0.0028246807004918407,0.248028842118788,0.03712856255341296,0.15876714772280892,Genuine
O19,T2,0.886130426658121,0.1351859241609185,0.012022325638528349,0.06521762089102644,0.028689693562080214,0.1392964471935777,Genuine
O20,T2,0.9318814827152936,0.041468499852957946,0.004681822654137135,0.2611657701730679,0.03764413933656686,0.17439791386741332,Genuine
O1,T3,0.8778075140994853,0.17082648389223465,0.014715575554179258,0.07216601250164925,0.03073530950672862,0.10806434323223227,Genuine
O2,T3,0.9034525204542406,0.07364141948575004,0.0033528831951753677,0.2781113233446483,0.028080315406245088,0.09496337977342545,Genuine
O3,T3,0.892936063545092,0.06817292474026401,0.0030531681191611733,0.20486563840629612,0.028640554472377476,0.09589482215851063,Genuine
O4,T3,0.8831733214153125,0.06471249938011947,0.001984692012367009,0.2785921205784606,0.028564552309620118,0.09384600520964637,Genuine
O5,T3,0.9719088502583195,0.017383324413016786,0.001430524408719317,0.26919179230543555,0.028988430949751582,0.09401145223447924,Genuine
O6,T3,0.9631009408800593,0.01703388164746741,0.001977241413228856,0.3097002549577434,0.029584056099013142,0.09425597626891977,Genuine
O7,T3,0.9263353497727393,0.11781325266601117,0.010531530575311384,0.05731813695230148,0.029729510773540017,0.09297211081314347,Genuine
O8,T3,0.8378151863396213,0.19757746540928078,0.016707770573918708,0.13343206113383663,0.02595321260045741,0.1051354118704206,Genuine
O9,T3,0.9408296580213111,0.042952860231417714,0.0028440481360824986,0.2199302975316561,0.028365283905626596,0.09490934956102685,Genuine
O10,T3,0.920147090681562,0.05081280123095694,0.002479245081744322,0.3002601779871223,0.028899606463185554,0.09487614310735872,Genuine
O11,T3,0.829086887249704,0.08562815955224265,0.012756855143415067,0.1856669504475821,0.03653108215594311,0.12065449905172956,Genuine
O12,T3,0.9346954608397887,0.039204383610420376,0.0024886372325372734,0.29225351130898547,0.02886404080985005,0.09416428251103522,Genuine
O13,T3,0.8060046303910611,0.20850632168912975,0.01283547139762076,0.08056214616005533,0.025104082964499348,0.08066584423882346,Genuine
O14,T3,0.919992481154615,0.034437048322196864,0.001543637517164282,0.33670557676524926,0.029351672783000497,0.09413033144487006,Genuine
O15,T3,0.790236643433669,0.3117426108129126,0.02970099422651298,0.17290571122551918,0.032689670748511174,0.1277328979966516,Genuine
O16,T3,0.9366323031554036,0.10302283547628997,0.006334274396429663,0.04235858598305725,0.02821395840745479,0.09491485656709922,Genuine
O17,T3,0.9123225211266948,0.05941114596212261,0.002123857731484083,0.22441238824679277,0.028197986233793444,0.09321731802468919,Genuine
